iter	Passed	Remaining
585	3029	2140
586	3034	2134
587	3039	2129
588	3044	2124
589	3049	2119
590	3054	2114
591	3060	2109
592	3065	2103
593	3070	2098
594	3075	2093
595	3080	2088
596	3085	2083
597	3090	2077
598	3095	2072
599	3100	2067
600	3106	2062
601	3111	2057
602	3116	2051
603	3122	2046
604	3127	2041
605	3132	2036
606	3139	2032
607	3144	2027
608	3149	2021
609	3154	2016
610	3159	2011
611	3164	2006
612	3169	2000
613	3174	1995
614	3179	1990
615	3184	1985
616	3189	1980
617	3194	1974
618	3199	1969
619	3205	1964
620	3210	1959
621	3215	1954
622	3220	1949
623	3225	1943
624	3231	1938
625	3237	1934
626	3242	1928
627	3247	1923
628	3252	1918
629	3258	1913
630	3263	1908
631	3268	1903
632	3273	1898
633	3279	1893
634	3284	1887
635	3289	1882
636	3293	1877
637	3299	1872
638	3305	1867
639	3310	1862
640	3315	1857
641	3321	1851
642	3326	1846
643	3331	1841
644	3336	1836
645	3340	1830
646	3345	1825
647	3350	1820
648	3356	1815
649	3361	1809
650	3366	1804
651	3371	1799
652	3376	1794
653	3381	1789
654	3386	1783
655	3392	1778
656	3397	1773
657	3402	1768
658	3408	1763
659	3413	1758
660	3418	1753
661	3423	1747
662	3427	1742
663	3432	1737
664	3438	1732
665	3444	1727
666	3449	1722
667	3454	1716
668	3460	1712
669	3466	1707
670	3471	1702
671	3476	1697
672	3481	1691
673	3486	1686
674	3491	1681
675	3496	1676
676	3502	1670
677	3507	1666
678	3513	1661
679	3518	1655
680	3523	1650
681	3528	1645
682	3534	1640
683	3539	1635
684	3544	1630
685	3550	1624
686	3555	1619
687	3560	1614
688	3565	1609
689	3570	1604
690	3575	1598
691	3580	1593
692	3585	1588
693	3590	1583
694	3596	1578
695	3601	1572
696	3606	1567
697	3611	1562
698	3616	1557
699	3621	1552
700	3626	1547
701	3633	1542
702	3638	1537
703	3643	1531
704	3648	1526
705	3653	1521
706	3659	1516
707	3664	1511
708	3669	1506
709	3674	1501
710	3680	1495
711	3685	1490
712	3690	1485
713	3696	1480
714	3701	1475
715	3706	1470
716	3712	1465
717	3716	1459
718	3721	1454
719	3726	1449
720	3732	1444
721	3737	1438
722	3742	1433
723	3747	1428
724	3753	1423
725	3758	1418
726	3763	1413
727	3769	1408
728	3774	1402
729	3779	1397
730	3784	1392
731	3790	1387
732	3796	1382
733	3802	1377
734	3807	1372
735	3812	1367
736	3817	1362
737	3823	1357
738	3829	1352
739	3834	1347
740	3838	1341
741	3845	1337
742	3850	1331
743	3855	1326
744	3860	1321
745	3865	1316
746	3870	1310
747	3875	1305
748	3879	1300
749	3885	1295
750	3889	1289
751	3895	1284
752	3900	1279
753	3905	1274
754	3910	1269
755	3915	1263
756	3920	1258
757	3926	1253
758	3930	1248
759	3936	1242
760	3941	1237
761	3946	1232
762	3950	1227
763	3955	1221
764	3960	1216
765	3966	1211
766	3971	1206
767	3977	1201
768	3983	1196
769	3988	1191
770	3992	1185
771	3998	1180
772	4004	1175
773	4010	1170
774	4015	1165
775	4020	1160
776	4025	1155
777	4030	1150
778	4035	1144
779	4041	1139
780	4046	1134
781	4052	1129
782	4057	1124
783	4062	1119
784	4067	1113
785	4072	1108
786	4077	1103
787	4081	1098
788	4087	1093
789	4092	1087
